
Analysis Description
--------------------
GARD : Genetic Algorithms for Recombination Detection. Implements a
heuristic approach to screening alignments of sequences for
recombination, by using the CHC genetic algorithm to search for
phylogenetic incongruence among different partitions of the data. The
number of partitions is determined using a step-up procedure, while the
placement of breakpoints is searched for with the GA. The best fitting
model (based on c-AIC) is returned; and additional post-hoc tests run to
distinguish topological incongruence from rate-variation. v0.2 adds and
spooling results to JSON after each breakpoint search conclusion

- __Requirements__: A sequence alignment.

- __Citation__: **Automated Phylogenetic Detection of Recombination Using a Genetic
Algorithm**, _Mol Biol Evol 23(10), 1891–1901

- __Written by__: Sergei L Kosakovsky Pond

- __Contact Information__: spond@temple.edu

- __Analysis Version__: 0.2

type: nucleotide
rv: GDD
>Maximum number of breakpoints to consider (permissible range = [1,100000], default value = 10000, integer): max-breakpoints: 10000
>How many site rate classes to use (permissible range = [2,10], default value = 4, integer): rate-classes: 4
mode: Faster
>Loaded a nucleotide multiple sequence alignment with **16** sequences, **1221** sites (470 of which are variable) from `/Users/alex/Documents/AOC/results/BDNF-64/BDNF-64.RD.SA.codons.cln.fa.cluster.fasta`
>Minimum size of a partition is set to be 29 sites


### Fitting the baseline (single-partition; no breakpoints) model
* Log(L) = -6664.09, AIC-c = 13419.55 (44 estimated parameters)

### Performing an exhaustive single breakpoint analysis
[2K
[GARD] Breakpoint          1 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint          2 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint          3 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint          4 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint          5 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint          6 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint          7 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint          8 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint          9 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         10 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         11 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         12 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         13 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         14 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         15 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         16 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         17 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         18 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         19 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         20 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         21 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         22 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         23 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         24 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         25 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         26 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         27 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         28 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         29 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         30 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         31 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         32 of 469. Best cAIC =   13415.6999 [delta =       3.8475] with breakpoint at site         32[2K
[GARD] Breakpoint         33 of 469. Best cAIC =   13409.9815 [delta =       9.5658] with breakpoint at site         33[2K
[GARD] Breakpoint         34 of 469. Best cAIC =   13409.9815 [delta =       9.5658] with breakpoint at site         33[2K
[GARD] Breakpoint         35 of 469. Best cAIC =   13406.8845 [delta =      12.6628] with breakpoint at site         34[2K
[GARD] Breakpoint         36 of 469. Best cAIC =   13392.8640 [delta =      26.6833] with breakpoint at site         37[2K
[GARD] Breakpoint         37 of 469. Best cAIC =   13392.8640 [delta =      26.6833] with breakpoint at site         37[2K
[GARD] Breakpoint         38 of 469. Best cAIC =   13392.8640 [delta =      26.6833] with breakpoint at site         37[2K
[GARD] Breakpoint         39 of 469. Best cAIC =   13392.8640 [delta =      26.6833] with breakpoint at site         37[2K
[GARD] Breakpoint         40 of 469. Best cAIC =   13392.8640 [delta =      26.6833] with breakpoint at site         37[2K
[GARD] Breakpoint         41 of 469. Best cAIC =   13382.7790 [delta =      36.7683] with breakpoint at site         39[2K
[GARD] Breakpoint         42 of 469. Best cAIC =   13382.7790 [delta =      36.7683] with breakpoint at site         39[2K
[GARD] Breakpoint         43 of 469. Best cAIC =   13382.7790 [delta =      36.7683] with breakpoint at site         39[2K
[GARD] Breakpoint         44 of 469. Best cAIC =   13381.2778 [delta =      38.2695] with breakpoint at site        148[2K
[GARD] Breakpoint         45 of 469. Best cAIC =   13381.2778 [delta =      38.2695] with breakpoint at site        148[2K
[GARD] Breakpoint         46 of 469. Best cAIC =   13381.2778 [delta =      38.2695] with breakpoint at site        148[2K
[GARD] Breakpoint         47 of 469. Best cAIC =   13381.2778 [delta =      38.2695] with breakpoint at site        148[2K
[GARD] Breakpoint         48 of 469. Best cAIC =   13381.2778 [delta =      38.2695] with breakpoint at site        148[2K
[GARD] Breakpoint         49 of 469. Best cAIC =   13381.2778 [delta =      38.2695] with breakpoint at site        148[2K
[GARD] Breakpoint         50 of 469. Best cAIC =   13318.6347 [delta =     100.9127] with breakpoint at site        153[2K
[GARD] Breakpoint         51 of 469. Best cAIC =   13317.5932 [delta =     101.9542] with breakpoint at site        154[2K
[GARD] Breakpoint         52 of 469. Best cAIC =   13282.1973 [delta =     137.3500] with breakpoint at site        155[2K
[GARD] Breakpoint         53 of 469. Best cAIC =   13282.1973 [delta =     137.3500] with breakpoint at site        155[2K
[GARD] Breakpoint         54 of 469. Best cAIC =   13282.1973 [delta =     137.3500] with breakpoint at site        155[2K
[GARD] Breakpoint         55 of 469. Best cAIC =   13282.1973 [delta =     137.3500] with breakpoint at site        155[2K
[GARD] Breakpoint         56 of 469. Best cAIC =   13282.1973 [delta =     137.3500] with breakpoint at site        155[2K
[GARD] Breakpoint         57 of 469. Best cAIC =   13282.1973 [delta =     137.3500] with breakpoint at site        155[2K
[GARD] Breakpoint         58 of 469. Best cAIC =   13282.1973 [delta =     137.3500] with breakpoint at site        155[2K
[GARD] Breakpoint         59 of 469. Best cAIC =   13282.1973 [delta =     137.3500] with breakpoint at site        155[2K
[GARD] Breakpoint         60 of 469. Best cAIC =   13282.1973 [delta =     137.3500] with breakpoint at site        155[2K
[GARD] Breakpoint         61 of 469. Best cAIC =   13282.1973 [delta =     137.3500] with breakpoint at site        155[2K
[GARD] Breakpoint         62 of 469. Best cAIC =   13282.1973 [delta =     137.3500] with breakpoint at site        155[2K
[GARD] Breakpoint         63 of 469. Best cAIC =   13282.1973 [delta =     137.3500] with breakpoint at site        155[2K
[GARD] Breakpoint         64 of 469. Best cAIC =   13245.6380 [delta =     173.9094] with breakpoint at site        166[2K
[GARD] Breakpoint         65 of 469. Best cAIC =   13245.6380 [delta =     173.9094] with breakpoint at site        166[2K
[GARD] Breakpoint         66 of 469. Best cAIC =   13245.6380 [delta =     173.9094] with breakpoint at site        166[2K
[GARD] Breakpoint         67 of 469. Best cAIC =   13245.6380 [delta =     173.9094] with breakpoint at site        166[2K
[GARD] Breakpoint         68 of 469. Best cAIC =   13245.6380 [delta =     173.9094] with breakpoint at site        166[2K
[GARD] Breakpoint         69 of 469. Best cAIC =   13245.6380 [delta =     173.9094] with breakpoint at site        166[2K
[GARD]   2 breakpoints [ generation     14, total models      865,   16% converged,  8.74/sec]. Min (c-AIC) =   12119.4105 [ delta =    43.10], breakpoints at 368, 415[2K
[GARD]   2 breakpoints [ generation     15, total models      890,   19% converged,  8.56/sec]. Min (c-AIC) =   12119.4105 [ delta =    43.10], breakpoints at 368, 415[2K
[GARD]   2 breakpoints [ generation     16, total models      934,   22% converged,  8.34/sec]. Min (c-AIC) =   12119.4105 [ delta =    43.10], breakpoints at 368, 415[2K
[GARD]   2 breakpoints [ generation     17, total models      958,   25% converged,  8.33/sec]. Min (c-AIC) =   12119.4105 [ delta =    43.10], breakpoints at 368, 415[2K
[GARD]   2 breakpoints [ generation     18, total models      996,   28% converged,  8.30/sec]. Min (c-AIC) =   12119.4105 [ delta =    43.10], breakpoints at 368, 415[2K
[GARD]   2 breakpoints [ generation     19, total models     1023,   31% converged,  8.25/sec]. Min (c-AIC) =   12119.4105 [ delta =    43.10], breakpoints at 368, 415[2K
[GARD]   2 breakpoints [ generation     20, total models     1041,   34% converged,  8.20/sec]. Min (c-AIC) =   12119.4105 [ delta =    43.10], breakpoints at 368, 415[2K
[GARD]   2 breakpoints [ generation     21, total models     1081,   38% converged,  8.19/sec]. Min (c-AIC) =   12119.4105 [ delta =    43.10], breakpoints at 368, 415[2K
[GARD]   2 breakpoints [ generation     22, total models     1111,   41% converged,  8.17/sec]. Min (c-AIC) =   12119.4105 [ delta =    43.10], breakpoints at 368, 415[2K
[GARD]   2 breakpoints [ generation     23, total models     1146,   44% converged,  8.13/sec]. Min (c-AIC) =   12119.4105 [ delta =    43.10], breakpoints at 368, 415[2K
[GARD]   2 breakpoints [ generation     24, total models     1164,   47% converged,  8.03/sec]. Min (c-AIC) =   12119.4105 [ delta =    43.10], breakpoints at 368, 415[2K
[GARD]   2 breakpoints [ generation     25, total models     1177,   50% converged,  8.01/sec]. Min (c-AIC) =   12119.4105 [ delta =    43.10], breakpoints at 368, 415[2K
[GARD]   2 breakpoints [ generation     26, total models     1185,   53% converged,  8.01/sec]. Min (c-AIC) =   12119.4105 [ delta =    43.10], breakpoints at 368, 415[2K
[GARD]   2 breakpoints [ generation     27, total models     1228,   56% converged,  7.92/sec]. Min (c-AIC) =   12119.4105 [ delta =    43.10], breakpoints at 368, 415[2K
[GARD]   2 breakpoints [ generation     28, total models     1253,   59% converged,  7.83/sec]. Min (c-AIC) =   12119.4105 [ delta =    43.10], breakpoints at 368, 415[2K
[GARD]   2 breakpoints [ generation     29, total models     1275,   62% converged,  7.77/sec]. Min (c-AIC) =   12119.4105 [ delta =    43.10], breakpoints at 368, 415[2K
[GARD]   2 breakpoints [ generation     30, total models     1325,   66% converged,  7.75/sec]. Min (c-AIC) =   12119.4105 [ delta =    43.10], breakpoints at 368, 415[2K
[GARD]   2 breakpoints [ generation     31, total models     1349,   69% converged,  7.71/sec]. Min (c-AIC) =   12119.4105 [ delta =    43.10], breakpoints at 368, 415[2K
[GARD]   2 breakpoints [ generation     32, total models     1374,   72% converged,  7.68/sec]. Min (c-AIC) =   12119.4105 [ delta =    43.10], breakpoints at 368, 415[2K
[GARD]   2 breakpoints [ generation     33, total models     1391,   75% converged,  7.69/sec]. Min (c-AIC) =   12119.4105 [ delta =    43.10], breakpoints at 368, 415[2K
[GARD]   2 breakpoints [ generation     34, total models     1434,   78% converged,  7.67/sec]. Min (c-AIC) =   12119.4105 [ delta =    43.10], breakpoints at 368, 415[2K
[GARD]   2 breakpoints [ generation     35, total models     1458,   81% converged,  7.63/sec]. Min (c-AIC) =   12119.4105 [ delta =    43.10], breakpoints at 368, 415[2K
[GARD]   2 breakpoints [ generation     36, total models     1486,   84% converged,  7.62/sec]. Min (c-AIC) =   12119.4105 [ delta =    43.10], breakpoints at 368, 415[2K
[GARD]   2 breakpoints [ generation     37, total models     1529,   88% converged,  7.61/sec]. Min (c-AIC) =   12119.4105 [ delta =    43.10], breakpoints at 368, 415[2K
[GARD]   2 breakpoints [ generation     38, total models     1558,   91% converged,  7.56/sec]. Min (c-AIC) =   12119.4105 [ delta =    43.10], breakpoints at 368, 415[2K
[GARD]   2 breakpoints [ generation     39, total models     1581,   94% converged,  7.56/sec]. Min (c-AIC) =   12119.4105 [ delta =    43.10], breakpoints at 368, 415[2K
[GARD]   2 breakpoints [ generation     40, total models     1622,   97% converged,  7.58/sec]. Min (c-AIC) =   12119.4105 [ delta =    43.10], breakpoints at 368, 415[2K
[GARD]   2 breakpoints [ generation     41, total models     1643,  100% converged,  7.57/sec]. Min (c-AIC) =   12119.4105 [ delta =    43.10], breakpoints at 368, 415[2K
                                                                                                                                                                       [2K
Done with 2 breakpoint analysis.
    Best break point locations: 368, 415
    c-AIC = 12119.41052534583
[2K
[GARD]   3 breakpoints [ generation      1, total models     1696,    0% converged,  7.41/sec]. Min (c-AIC) =   12103.7561 [ delta =    15.65], breakpoints at 368, 415, 564[2K
[GARD]   3 breakpoints [ generation      2, total models     1724,    3% converged,  7.31/sec]. Min (c-AIC) =   12103.7561 [ delta =    15.65], breakpoints at 368, 415, 564[2K
[GARD]   3 breakpoints [ generation      3, total models     1778,    6% converged,  7.26/sec]. Min (c-AIC) =   12103.7561 [ delta =    15.65], breakpoints at 368, 415, 564[2K
[GARD]   3 breakpoints [ generation      4, total models     1827,    9% converged,  7.22/sec]. Min (c-AIC) =   12103.7561 [ delta =    15.65], breakpoints at 368, 415, 564[2K
[GARD]   3 breakpoints [ generation      5, total models     1880,   12% converged,  7.23/sec]. Min (c-AIC) =   12103.7561 [ delta =    15.65], breakpoints at 368, 415, 564[2K
[GARD]   3 breakpoints [ generation      6, total models     1910,   16% converged,  7.21/sec]. Min (c-AIC) =   12103.7561 [ delta =    15.65], breakpoints at 368, 415, 564[2K
[GARD]   3 breakpoints [ generation      7, total models     1962,   19% converged,  7.19/sec]. Min (c-AIC) =   12103.7561 [ delta =    15.65], breakpoints at 368, 415, 564[2K
[GARD]   3 breakpoints [ generation      8, total models     2019,   22% converged,  7.13/sec]. Min (c-AIC) =   12103.7561 [ delta =    15.65], breakpoints at 368, 415, 564[2K
[GARD]   3 breakpoints [ generation      9, total models     2048,   25% converged,  7.14/sec]. Min (c-AIC) =   12103.7561 [ delta =    15.65], breakpoints at 368, 415, 564[2K
[GARD]   3 breakpoints [ generation     10, total models     2103,   28% converged,  7.10/sec]. Min (c-AIC) =   12103.7561 [ delta =    15.65], breakpoints at 368, 415, 564[2K
[GARD]   3 breakpoints [ generation     11, total models     2156,   31% converged,  7.07/sec]. Min (c-AIC) =   12103.7561 [ delta =    15.65], breakpoints at 368, 415, 564[2K
[GARD]   3 breakpoints [ generation     12, total models     2208,   34% converged,  7.03/sec]. Min (c-AIC) =   12103.2697 [ delta =    16.14], breakpoints at 325, 415, 575[2K
[GARD]   3 breakpoints [ generation     13, total models     2261,   38% converged,  6.98/sec]. Min (c-AIC) =   12103.2697 [ delta =    16.14], breakpoints at 325, 415, 575[2K
[GARD]   3 breakpoints [ generation     14, total models     2290,   41% converged,  6.96/sec]. Min (c-AIC) =   12103.2697 [ delta =    16.14], breakpoints at 325, 415, 575[2K
[GARD]   3 breakpoints [ generation     15, total models     2342,   44% converged,  6.95/sec]. Min (c-AIC) =   12103.2697 [ delta =    16.14], breakpoints at 325, 415, 575[2K
[GARD]   3 breakpoints [ generation     16, total models     2397,   47% converged,  6.93/sec]. Min (c-AIC) =   12103.2697 [ delta =    16.14], breakpoints at 325, 415, 575[2K
[GARD]   3 breakpoints [ generation     17, total models     2428,   50% converged,  6.92/sec]. Min (c-AIC) =   12103.2697 [ delta =    16.14], breakpoints at 325, 415, 575[2K
[GARD]   3 breakpoints [ generation     18, total models     2479,   53% converged,  6.89/sec]. Min (c-AIC) =   12103.2697 [ delta =    16.14], breakpoints at 325, 415, 575[2K
[GARD]   3 breakpoints [ generation     19, total models     2529,   56% converged,  6.87/sec]. Min (c-AIC) =   12103.2697 [ delta =    16.14], breakpoints at 325, 415, 575[2K
[GARD]   3 breakpoints [ generation     20, total models     2559,   59% converged,  6.86/sec]. Min (c-AIC) =   12103.2697 [ delta =    16.14], breakpoints at 325, 415, 575[2K
[GARD]   3 breakpoints [ generation     21, total models     2611,   62% converged,  6.84/sec]. Min (c-AIC) =   12103.2697 [ delta =    16.14], breakpoints at 325, 415, 575[2K
[GARD]   3 breakpoints [ generation     22, total models     2642,   66% converged,  6.81/sec]. Min (c-AIC) =   12103.2697 [ delta =    16.14], breakpoints at 325, 415, 575[2K
[GARD]   3 breakpoints [ generation     23, total models     2695,   69% converged,  6.79/sec]. Min (c-AIC) =   12103.2697 [ delta =    16.14], breakpoints at 325, 415, 575[2K
[GARD]   3 breakpoints [ generation     24, total models     2749,   72% converged,  6.77/sec]. Min (c-AIC) =   12103.2697 [ delta =    16.14], breakpoints at 325, 415, 575[2K
[GARD]   3 breakpoints [ generation     25, total models     2807,   75% converged,  6.73/sec]. Min (c-AIC) =   12103.2697 [ delta =    16.14], breakpoints at 325, 415, 575[2K
[GARD]   3 breakpoints [ generation     26, total models     2858,   78% converged,  6.69/sec]. Min (c-AIC) =   12103.2697 [ delta =    16.14], breakpoints at 325, 415, 575[2K
[GARD]   3 breakpoints [ generation     27, total models     2888,   81% converged,  6.69/sec]. Min (c-AIC) =   12103.2697 [ delta =    16.14], breakpoints at 325, 415, 575[2K
[GARD]   3 breakpoints [ generation     28, total models     2942,   84% converged,  6.66/sec]. Min (c-AIC) =   12103.2697 [ delta =    16.14], breakpoints at 325, 415, 575[2K
[GARD]   3 breakpoints [ generation     29, total models     2995,   88% converged,  6.64/sec]. Min (c-AIC) =   12101.6403 [ delta =    17.77], breakpoints at 325, 415, 514[2K
[GARD]   3 breakpoints [ generation     30, total models     3024,   91% converged,  6.63/sec]. Min (c-AIC) =   12101.6403 [ delta =    17.77], breakpoints at 325, 415, 514[2K
[GARD]   3 breakpoints [ generation     31, total models     3076,   94% converged,  6.59/sec]. Min (c-AIC) =   12101.6403 [ delta =    17.77], breakpoints at 325, 415, 514[2K
[GARD]   3 breakpoints [ generation     32, total models     3128,   97% converged,  6.59/sec]. Min (c-AIC) =   12101.6403 [ delta =    17.77], breakpoints at 325, 415, 514[2K
[GARD]   3 breakpoints [ generation     33, total models     3157,  100% converged,  6.56/sec]. Min (c-AIC) =   12101.6403 [ delta =    17.77], breakpoints at 325, 415, 514[2K
                                                                                                                                                                            [2K
Done with 3 breakpoint analysis.
    Best break point locations: 325, 415, 514
    c-AIC = 12101.64027675199
[2K
[GARD]   4 breakpoints [ generation      1, total models     3217,    0% converged,  6.50/sec]. Min (c-AIC) =   12098.8528 [ delta =     2.79], breakpoints at 325, 415, 514, 825[2K
[GARD]   4 breakpoints [ generation      2, total models     3247,    3% converged,  6.46/sec]. Min (c-AIC) =   12098.8528 [ delta =     2.79], breakpoints at 325, 415, 514, 825[2K
[GARD]   4 breakpoints [ generation      3, total models     3278,    6% converged,  6.44/sec]. Min (c-AIC) =   12098.8528 [ delta =     2.79], breakpoints at 325, 415, 514, 825[2K
[GARD]   4 breakpoints [ generation      4, total models     3333,    9% converged,  6.41/sec]. Min (c-AIC) =   12098.8528 [ delta =     2.79], breakpoints at 325, 415, 514, 825[2K
[GARD]   4 breakpoints [ generation      5, total models     3365,   12% converged,  6.37/sec]. Min (c-AIC) =   12098.8528 [ delta =     2.79], breakpoints at 325, 415, 514, 825[2K
[GARD]   4 breakpoints [ generation      6, total models     3424,   16% converged,  6.34/sec]. Min (c-AIC) =   12098.8528 [ delta =     2.79], breakpoints at 325, 415, 514, 825[2K
[GARD]   4 breakpoints [ generation      7, total models     3456,   19% converged,  6.32/sec]. Min (c-AIC) =   12098.8528 [ delta =     2.79], breakpoints at 325, 415, 514, 825[2K
[GARD]   4 breakpoints [ generation      8, total models     3514,   22% converged,  6.29/sec]. Min (c-AIC) =   12098.8528 [ delta =     2.79], breakpoints at 325, 415, 514, 825[2K
[GARD]   4 breakpoints [ generation      9, total models     3545,   25% converged,  6.26/sec]. Min (c-AIC) =   12098.8528 [ delta =     2.79], breakpoints at 325, 415, 514, 825[2K
[GARD]   4 breakpoints [ generation     10, total models     3604,   28% converged,  6.22/sec]. Min (c-AIC) =   12098.8528 [ delta =     2.79], breakpoints at 325, 415, 514, 825[2K
[GARD]   4 breakpoints [ generation     11, total models     3636,   31% converged,  6.18/sec]. Min (c-AIC) =   12098.8528 [ delta =     2.79], breakpoints at 325, 415, 514, 825[2K
[GARD]   4 breakpoints [ generation     12, total models     3696,   34% converged,  6.15/sec]. Min (c-AIC) =   12098.8528 [ delta =     2.79], breakpoints at 325, 415, 514, 825[2K
[GARD]   4 breakpoints [ generation     13, total models     3752,   38% converged,  6.10/sec]. Min (c-AIC) =   12098.8528 [ delta =     2.79], breakpoints at 325, 415, 514, 825[2K
[GARD]   4 breakpoints [ generation     14, total models     3807,   41% converged,  6.05/sec]. Min (c-AIC) =   12098.8528 [ delta =     2.79], breakpoints at 325, 415, 514, 825[2K
[GARD]   4 breakpoints [ generation     15, total models     3839,   44% converged,  6.03/sec]. Min (c-AIC) =   12098.8528 [ delta =     2.79], breakpoints at 325, 415, 514, 825[2K
[GARD]   4 breakpoints [ generation     16, total models     3896,   47% converged,  5.98/sec]. Min (c-AIC) =   12098.8528 [ delta =     2.79], breakpoints at 325, 415, 514, 825[2K
[GARD]   4 breakpoints [ generation     17, total models     3928,   50% converged,  5.96/sec]. Min (c-AIC) =   12098.8528 [ delta =     2.79], breakpoints at 325, 415, 514, 825[2K
[GARD]   4 breakpoints [ generation     18, total models     3982,   53% converged,  5.82/sec]. Min (c-AIC) =   12098.8528 [ delta =     2.79], breakpoints at 325, 415, 514, 825[2K
[GARD]   4 breakpoints [ generation     19, total models     4039,   56% converged,  5.68/sec]. Min (c-AIC) =   12098.8528 [ delta =     2.79], breakpoints at 325, 415, 514, 825[2K
[GARD]   4 breakpoints [ generation     20, total models     4097,   59% converged,  5.66/sec]. Min (c-AIC) =   12098.8528 [ delta =     2.79], breakpoints at 325, 415, 514, 825[2K
[GARD]   4 breakpoints [ generation     21, total models     4155,   62% converged,  5.64/sec]. Min (c-AIC) =   12098.8528 [ delta =     2.79], breakpoints at 325, 415, 514, 825[2K
[GARD]   4 breakpoints [ generation     22, total models     4187,   66% converged,  5.62/sec]. Min (c-AIC) =   12098.8528 [ delta =     2.79], breakpoints at 325, 415, 514, 825[2K
[GARD]   4 breakpoints [ generation     23, total models     4243,   69% converged,  5.52/sec]. Min (c-AIC) =   12098.8528 [ delta =     2.79], breakpoints at 325, 415, 514, 825[2K
[GARD]   4 breakpoints [ generation     24, total models     4275,   72% converged,  5.52/sec]. Min (c-AIC) =   12098.8528 [ delta =     2.79], breakpoints at 325, 415, 514, 825[2K
[GARD]   4 breakpoints [ generation     25, total models     4332,   75% converged,  5.48/sec]. Min (c-AIC) =   12098.8528 [ delta =     2.79], breakpoints at 325, 415, 514, 825[2K
[GARD]   4 breakpoints [ generation     26, total models     4362,   78% converged,  5.47/sec]. Min (c-AIC) =   12098.8528 [ delta =     2.79], breakpoints at 325, 415, 514, 825[2K
[GARD]   4 breakpoints [ generation     27, total models     4418,   81% converged,  5.45/sec]. Min (c-AIC) =   12098.8528 [ delta =     2.79], breakpoints at 325, 415, 514, 825[2K
[GARD]   4 breakpoints [ generation     28, total models     4449,   84% converged,  5.45/sec]. Min (c-AIC) =   12098.8528 [ delta =     2.79], breakpoints at 325, 415, 514, 825[2K
[GARD]   4 breakpoints [ generation     29, total models     4505,   88% converged,  5.43/sec]. Min (c-AIC) =   12098.8528 [ delta =     2.79], breakpoints at 325, 415, 514, 825[2K
[GARD]   4 breakpoints [ generation     30, total models     4537,   91% converged,  5.43/sec]. Min (c-AIC) =   12098.8528 [ delta =     2.79], breakpoints at 325, 415, 514, 825[2K
[GARD]   4 breakpoints [ generation     31, total models     4595,   94% converged,  5.39/sec]. Min (c-AIC) =   12098.8528 [ delta =     2.79], breakpoints at 325, 415, 514, 825[2K
[GARD]   4 breakpoints [ generation     32, total models     4627,   97% converged,  5.39/sec]. Min (c-AIC) =   12098.8528 [ delta =     2.79], breakpoints at 325, 415, 514, 825[2K
[GARD]   4 breakpoints [ generation     33, total models     4686,  100% converged,  5.27/sec]. Min (c-AIC) =   12098.8528 [ delta =     2.79], breakpoints at 325, 415, 514, 825[2K
                                                                                                                                                                                 [2K
Done with 4 breakpoint analysis.
    Best break point locations: 325, 415, 514, 825
    c-AIC = 12098.85277098958
[2K
[GARD]   5 breakpoints [ generation      1, total models     4743,    0% converged,  5.22/sec]. Min (c-AIC) =   12118.0669 [no improvement], breakpoints at 325, 415, 514, 825, 1088[2K
[GARD]   5 breakpoints [ generation      2, total models     4774,    3% converged,  5.21/sec]. Min (c-AIC) =   12118.0669 [no improvement], breakpoints at 325, 415, 514, 825, 1088[2K
[GARD]   5 breakpoints [ generation      3, total models     4834,    6% converged,  5.19/sec]. Min (c-AIC) =   12118.0669 [no improvement], breakpoints at 325, 415, 514, 825, 1088[2K
[GARD]   5 breakpoints [ generation      4, total models     4866,    9% converged,  5.17/sec]. Min (c-AIC) =   12118.0669 [no improvement], breakpoints at 325, 415, 514, 825, 1088[2K
[GARD]   5 breakpoints [ generation      5, total models     4926,   12% converged,  5.15/sec]. Min (c-AIC) =   12118.0669 [no improvement], breakpoints at 325, 415, 514, 825, 1088[2K
[GARD]   5 breakpoints [ generation      6, total models     4958,   16% converged,  5.14/sec]. Min (c-AIC) =   12118.0669 [no improvement], breakpoints at 325, 415, 514, 825, 1088[2K
[GARD]   5 breakpoints [ generation      7, total models     5016,   19% converged,  5.12/sec]. Min (c-AIC) =   12118.0669 [no improvement], breakpoints at 325, 415, 514, 825, 1088[2K
[GARD]   5 breakpoints [ generation      8, total models     5048,   22% converged,  5.11/sec]. Min (c-AIC) =   12118.0669 [no improvement], breakpoints at 325, 415, 514, 825, 1088[2K
[GARD]   5 breakpoints [ generation      9, total models     5109,   25% converged,  5.09/sec]. Min (c-AIC) =   12118.0669 [no improvement], breakpoints at 325, 415, 514, 825, 1088[2K
[GARD]   5 breakpoints [ generation     10, total models     5140,   28% converged,  5.08/sec]. Min (c-AIC) =   12118.0669 [no improvement], breakpoints at 325, 415, 514, 825, 1088[2K
[GARD]   5 breakpoints [ generation     11, total models     5200,   31% converged,  5.06/sec]. Min (c-AIC) =   12118.0669 [no improvement], breakpoints at 325, 415, 514, 825, 1088[2K
[GARD]   5 breakpoints [ generation     12, total models     5232,   34% converged,  5.06/sec]. Min (c-AIC) =   12118.0669 [no improvement], breakpoints at 325, 415, 514, 825, 1088[2K
[GARD]   5 breakpoints [ generation     13, total models     5292,   38% converged,  5.05/sec]. Min (c-AIC) =   12118.0669 [no improvement], breakpoints at 325, 415, 514, 825, 1088[2K
[GARD]   5 breakpoints [ generation     14, total models     5324,    0% converged,  5.04/sec]. Min (c-AIC) =   12113.6210 [no improvement], breakpoints at 325, 415, 518, 825, 1097[2K
[GARD]   5 breakpoints [ generation     15, total models     5383,    3% converged,  5.02/sec]. Min (c-AIC) =   12113.6210 [no improvement], breakpoints at 325, 415, 518, 825, 1097[2K
[GARD]   5 breakpoints [ generation     16, total models     5415,    6% converged,  4.97/sec]. Min (c-AIC) =   12113.6210 [no improvement], breakpoints at 325, 415, 518, 825, 1097[2K
[GARD]   5 breakpoints [ generation     17, total models     5474,    9% converged,  4.89/sec]. Min (c-AIC) =   12113.6210 [no improvement], breakpoints at 325, 415, 518, 825, 1097[2K
